theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d60_reach_d5,d60_reach_d10,d60_reach_d15,d60_reach_d20,d60_has_B,d60_has_A,d60_has_S,d60_p50,d60_p90,d60_p99,d60_p99_p50,d60_mean_bonus,d60_p99_bonus,d60_sink,d60_inflow,d60_refund,d60_sink_ratio,d60_drop7,d60_spare_total
6838,834.096,0.8136574,521.04724,1.2861673,1.0791769,379.63712,0.015567256,0.00986276,0.0031087482,0.0003101415,1.9157534,1.2237736,0.92700994,0.24317713,0.38243258,0.5631339,0.68005145,0.617278,0.08783784,0.002292471,0.0,0.19703186,0.01894305,0.0,4316.384,16260.193,59842.336,13.863997,0.014393444,0.13555656,50852210.0,59931064.0,31.25,0.8485112,0.19160232,544.0
6839,1106.1729,1.2439141,608.20374,1.5916792,0.8831221,284.0381,0.035925157,0.0072837803,0.0005912291,0.0007856591,1.05087,0.8906085,1.2066356,0.16376375,0.20415282,0.5402372,0.8639623,0.4150579,0.004705598,0.0,0.0,0.1418919,0.0777027,0.0,6913.99,22743.023,56316.23,8.145257,0.021419335,0.20037445,102939016.0,124049470.0,0.0,0.8298223,0.37982625,1188.375
6840,1055.9268,1.0533227,500.8014,1.4764004,1.0202217,264.12476,0.024450872,0.0036043972,0.0018505815,0.00037710764,0.96109116,0.93760175,1.0177819,0.23097275,0.3893927,0.72626543,0.5501763,0.6371863,0.037403475,0.0003619691,0.0,0.1722973,0.031611968,0.0,5340.6484,20940.334,69177.67,12.953048,0.016760945,0.16517061,80970536.0,98680560.0,0.0,0.8205318,0.24179536,684.6875
6841,797.53235,1.4851998,569.88635,1.4015594,0.9350197,355.7937,0.044096,0.01227542,0.003489576,0.0006490121,1.8194017,1.1667707,0.7377387,0.1495663,0.29759833,0.35220328,0.7934133,0.5530888,0.0033783782,0.0,0.0,0.40866312,0.08035714,0.0,5826.9746,16684.744,38784.21,6.6559772,0.028361712,0.18813735,98102320.0,105632700.0,35093.75,0.92840314,0.4955357,2086.4375
6842,649.8922,0.73986363,354.60703,1.6381912,0.86147237,420.1087,0.019836275,0.009469191,0.0028337846,0.0005368923,1.5169009,1.0064588,1.2422882,0.18111646,0.22458878,0.58251834,0.91619205,0.3174469,0.0056708492,0.0,0.0,0.17989865,0.032215253,0.0,3693.058,14205.656,50597.2,13.7006235,0.013146399,0.13156998,39079924.0,42669830.0,156.25,0.9158644,0.19461873,558.1875
6843,897.3597,1.1205323,782.57855,1.2678386,1.114875,150.57774,0.03886317,0.0061418377,0.00075723307,6.721405e-05,0.51213014,0.85572207,0.9708406,0.093193464,0.31849357,0.5084496,0.7273979,0.58023643,0.083373554,0.004584942,0.0,0.08096043,0.005550193,0.0,4593.586,16515.574,46399.36,10.100902,0.019448344,0.12656687,81564616.0,89691590.0,0.0,0.9093898,0.34736967,1089.375
6844,939.1688,0.8604002,614.9453,1.3144671,1.1798979,316.067,0.01498168,0.011364229,0.0026020738,0.00075055356,1.3933642,0.75422317,1.1201584,0.13845566,0.36302784,0.45622605,0.66818064,0.5673263,0.047779925,0.0016891891,0.0,0.207167,0.052485522,0.0,5188.074,19659.756,63869.03,12.3107395,0.016598893,0.17297624,57240664.0,72229300.0,31.25,0.79248506,0.20511582,591.875
6845,519.44604,1.2781293,451.62256,1.6760441,0.75775206,407.77777,0.034010828,0.00878524,0.0009599248,0.00027501577,0.82765067,1.1079571,0.84161216,0.22052228,0.18474907,0.62868494,0.8757233,0.20740831,0.00132722,0.0,0.0,0.14708011,0.028112933,0.0,4002.3076,12802.639,33729.0,8.427388,0.017337464,0.12067937,57093630.0,58548776.0,93.75,0.9751449,0.3821187,1259.4375
6846,754.31934,0.94534206,730.6222,1.4621543,0.8946067,477.60443,0.029598664,0.005462665,0.0016173818,0.00016289718,1.2224395,1.1902642,1.0696667,0.103311904,0.2488443,0.41247892,0.80294645,0.34531853,0.006274131,0.0,0.0,0.12765443,0.012065637,0.0,5150.892,17116.016,49956.09,9.698531,0.013128497,0.109288745,52672540.0,62870980.0,31.25,0.8377874,0.2596525,754.8125
6847,1184.9902,1.315061,394.93622,1.5563171,1.0360518,207.94582,0.049241237,0.014885303,0.0036971879,0.00044066092,1.7471131,0.9141077,0.79971206,0.19189507,0.42501467,0.6849313,0.64095795,0.6224662,0.008083977,0.0,0.0,0.3747587,0.050434366,0.0,4871.924,16894.787,42260.676,8.67433,0.032621667,0.20731063,133076080.0,140368480.0,9062.5,0.947987,0.4937259,2026.5
