theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d180_reach_d5,d180_reach_d10,d180_reach_d15,d180_reach_d20,d180_has_B,d180_has_A,d180_has_S,d180_p50,d180_p90,d180_p99,d180_p99_p50,d180_mean_bonus,d180_p99_bonus,d180_sink,d180_inflow,d180_refund,d180_sink_ratio,d180_drop7,d180_spare_total,balance_loss,balance_score,obj_growth,obj_rarity,obj_economy,obj_fun
10000333,779.63257,1.4287981,781.08105,1.5861775,1.1881478,169.37617,0.02510804,0.0035906828,0.0015228244,0.00014976124,1.1407169,0.90164334,1.0521482,0.24109343,0.2653418,0.4814791,0.76317227,0.49469113,0.019787645,0.0,0.0,0.4446187,0.05900096,0.0,9503.4,33275.56,110015.516,11.576437,0.0444693,0.24762803,270746430.0,316396450.0,3250.0,0.8557101,0.30405408,2454.5625,0.36971372,0.73007953,-0.14552122,-0.0,-0.0057100654,-0.05405408
10000192,856.2145,0.91241896,797.7274,1.4176909,0.9590183,204.88602,0.028268185,0.0060376953,0.0022307865,0.00030970896,1.6164887,0.7862678,0.764996,0.10151197,0.18035926,0.58485335,0.90185845,0.5057915,0.021838803,0.0,0.0,0.4265203,0.0682915,0.0,9859.437,28835.863,75187.766,7.62597,0.03603098,0.23338524,184181360.0,214500320.0,30250.0,0.85853195,0.26387548,2233.25,0.36978385,0.73004216,-0.14395268,-0.0,-0.008531928,-0.0138754845
10000009,958.5555,1.3765886,771.72906,1.6069796,1.1627431,175.96332,0.017670294,0.006670019,0.0011491575,0.00071117433,0.7654925,1.086898,0.73881936,0.19916973,0.35925043,0.62549573,0.8702713,0.49517375,0.01592664,0.0,0.0,0.4952944,0.214889,0.0014478764,9949.945,40128.707,118275.92,11.887093,0.051739007,0.39696914,314006000.0,369454720.0,1812.5,0.84991324,0.27557912,2384.9375,0.36996606,0.7299451,-0.1488996,-0.0,-8.678436e-05,-0.025579125
10000322,1114.4346,1.4585402,729.4686,1.5939115,0.82706237,159.48466,0.03685335,0.0033472476,0.003822433,0.0001072399,1.916864,0.92214185,1.1703237,0.08214469,0.31022257,0.42831525,0.60381866,0.5102558,0.020511582,0.0,0.0,0.69160235,0.10666023,0.0,13022.846,45232.297,185570.38,14.249602,0.059683803,0.30683917,408533980.0,480242460.0,38281.25,0.85061496,0.4054054,3387.0625,0.37015507,0.7298444,-0.14974423,-0.0,-0.0006149411,-0.1554054
10000058,930.68567,1.2405568,600.8312,1.6013553,1.0808457,155.41737,0.026427776,0.0063421438,0.003441786,0.00053731876,1.0214567,0.7990469,1.1494975,0.10514716,0.33322465,0.5616238,0.5635572,0.5113417,0.022804054,0.0,0.0,0.6529923,0.17434846,0.0003619691,9843.301,35753.297,129369.984,13.142947,0.056839433,0.3823254,288224130.0,340446560.0,7968.75,0.8465863,0.31925672,2862.625,0.37079385,0.7295043,-0.14853764,-0.0,-0.0034137368,-0.06925672
10000007,1001.25964,1.4740702,789.60547,1.5553993,0.9358128,188.37045,0.02023813,0.012460437,0.0027491522,0.0006786353,0.6615917,0.8473396,1.117964,0.23673095,0.2656855,0.5788586,0.90395886,0.49867278,0.02787162,0.0,0.0,0.70801157,0.25458494,0.0016891892,11313.586,36309.74,119820.84,10.590881,0.064884834,0.42382732,384292100.0,438996860.0,9156.25,0.87536865,0.36160713,3427.3125,0.3710283,0.72937953,-0.13345559,-0.0,-0.02536863,-0.111607134
10000340,1098.6409,0.9116155,579.1118,1.6177934,1.194417,155.23225,0.04470317,0.004082598,0.0023842852,0.00040185222,1.0894301,0.75421304,1.064613,0.09026866,0.37668204,0.6784459,0.9033625,0.51278955,0.03125,0.0,0.0,0.45041025,0.09145753,0.0,7848.6846,29793.242,106090.17,13.516936,0.045055464,0.27393714,247729940.0,285417900.0,8250.0,0.86793005,0.33144304,2539.1875,0.37434912,0.72761714,-0.14153954,-0.0,-0.01793003,-0.08144304
10000383,1017.7262,1.089587,743.8254,1.5176178,0.8727669,202.9677,0.042848274,0.009224092,0.00090801297,0.00041217532,1.4912106,1.1399122,1.0679082,0.10636243,0.24571636,0.35482714,0.5948479,0.49746624,0.0136341695,0.0,0.0,0.44208494,0.11703668,0.0,11347.999,30929.78,98214.44,8.65478,0.045186497,0.27804184,269241120.0,315434560.0,10875.0,0.8535268,0.3846525,3113.4375,0.3762722,0.72660047,-0.14889959,-0.0,-0.0035267472,-0.1346525
10000148,608.01965,1.3723847,773.5138,1.3954661,1.1412883,170.28687,0.017447922,0.009412484,0.0033882684,0.0006786116,0.61794126,0.8705761,1.1633942,0.15277824,0.21141997,0.64599067,0.57389337,0.51339287,0.031008689,0.0,0.0,0.7078909,0.24300194,0.0012065637,9246.108,26748.117,69419.266,7.507944,0.055661555,0.3582422,213368030.0,245737120.0,14031.25,0.868228,0.30900097,2951.75,0.376606,0.7264243,-0.14238417,-0.0,-0.018227994,-0.05900097
10000411,1144.2966,1.1348692,755.83954,1.553388,1.049586,197.19193,0.03641022,0.012732938,0.0010886868,0.00032735887,1.0930938,1.1760478,1.1076448,0.106614955,0.3116121,0.3649714,0.7904865,0.50953186,0.018581081,0.0,0.0,0.53100866,0.10859074,0.00024131274,11645.085,34577.215,122179.06,10.4918995,0.05030601,0.2895466,319948100.0,374945540.0,15062.5,0.85328454,0.38223937,3273.5625,0.3775378,0.72593296,-0.15095077,-0.0,-0.003284514,-0.13223937
10000026,1167.0944,1.4931502,795.2787,1.504175,0.7544763,172.84131,0.040844247,0.011734378,0.003916294,0.00028330385,0.5469516,0.79816896,0.87551874,0.0808857,0.3258045,0.7096533,0.6709272,0.53535235,0.04657336,0.0,0.0,0.7547056,0.18315637,0.00060328183,11782.182,38353.164,163512.81,13.8779745,0.06827895,0.39668906,437226940.0,504612200.0,5781.25,0.8664514,0.48515928,4271.0625,0.37894833,0.72519034,-0.14877899,-0.0,-0.016451359,-0.23515928
10000105,681.57654,1.4593761,702.35706,1.5072076,0.9425533,158.68735,0.03233838,0.004308012,0.0011677921,0.00032355497,0.59101164,0.8747714,1.0690637,0.11337662,0.34880635,0.6274353,0.9056103,0.5028958,0.036800195,0.0,0.0,0.43074322,0.115468144,0.00012065637,7617.4243,24909.604,82258.06,10.798672,0.046734683,0.2994129,253822480.0,284051840.0,2343.75,0.89357066,0.37427604,2865.625,0.37914702,0.72508585,-0.12609558,-0.0,-0.043570638,-0.12427604
10000018,1001.85254,1.1893281,793.6876,1.4814773,1.1962554,169.00119,0.020822749,0.010363936,0.0035896413,0.0002811747,0.78051513,0.8953102,0.78720427,0.18389085,0.20630497,0.71556634,0.7387403,0.5434363,0.04283301,0.0,0.0,0.65842175,0.12898165,0.00012065637,11302.871,36544.723,99193.64,8.775969,0.05441546,0.31594104,286257660.0,336522140.0,15781.25,0.8505956,0.30345076,2848.6875,0.3806834,0.724279,-0.16060327,-0.0,-0.0005955696,-0.053450763
10000070,1065.1411,1.2403092,717.9616,1.5764378,0.9848186,165.24152,0.030398494,0.011090074,0.00056455494,0.00056324975,1.8332307,0.86999303,1.0387179,0.11158575,0.2572046,0.66617894,0.66398066,0.49263996,0.028354246,0.0,0.0,0.4285714,0.15685329,0.00024131274,11386.706,37309.547,132470.25,11.633764,0.05158084,0.36177543,332060100.0,379612770.0,55187.5,0.87460655,0.35545367,3148.25,0.38074425,0.7242471,-0.1390058,-0.0,-0.024606526,-0.10545367
10000360,889.91504,0.967319,734.2003,1.4666008,0.8695977,153.79704,0.025215,0.009372737,0.0006192776,0.0005208789,1.3623102,1.0521971,0.9743011,0.15318108,0.36251786,0.41244337,0.6460361,0.4983108,0.024131274,0.0,0.0,0.35304055,0.12246622,0.0,7797.837,27414.664,72438.34,9.289543,0.040939443,0.2975637,211433060.0,241472240.0,4906.25,0.87558204,0.25603282,2241.0625,0.38142323,0.72389114,-0.13755792,-0.0,-0.025582016,-0.0060328245
10000159,1069.849,1.2577585,754.84717,1.515082,1.009211,192.69962,0.046500757,0.014575023,0.002103274,0.00037290523,0.9317664,0.78589356,0.9159199,0.09222282,0.23589417,0.5360034,0.64143527,0.5353523,0.03655888,0.0,0.0,0.61932915,0.13429055,0.00012065637,12286.074,33952.85,133365.97,10.855052,0.057141192,0.31640744,326388160.0,384865470.0,17843.75,0.84801847,0.4701979,3961.625,0.3822797,0.7234426,-0.1587934,-0.0,-0.0019815564,-0.22019789
10000122,1150.401,1.3417901,574.76215,1.6628537,0.80501646,171.72337,0.021602277,0.013220508,0.0032624793,0.0007657013,0.52773297,0.7646816,1.1986393,0.09687258,0.39354986,0.70183074,0.8742765,0.4944498,0.017736487,0.0,0.0,0.72140443,0.2585666,0.0018098454,10810.639,41625.543,150667.97,13.937009,0.06677414,0.43152303,401221000.0,466227300.0,4031.25,0.8605621,0.34555987,3414.0,0.38260227,0.7232738,-0.14781371,-0.0,-0.010562062,-0.095559865
10000464,1038.4246,0.97723424,661.5478,1.5158893,0.97646976,196.85515,0.015653491,0.013282644,0.0035914802,8.317395e-05,1.0262036,1.2230132,0.9173606,0.08466197,0.37278458,0.50675565,0.81224805,0.5092905,0.015444015,0.0,0.0,0.6125724,0.07396236,0.0,9925.215,34245.453,105416.57,10.621087,0.045443267,0.2466797,242534740.0,286011070.0,34250.0,0.84788924,0.25337836,2422.25,0.38313717,0.7229941,-0.1538465,-0.0,-0.0021107793,-0.0033783615
10000243,807.18805,1.4041044,580.31775,1.6109507,1.1092818,182.07474,0.032339983,0.0046179015,0.0033873452,0.00034632042,0.76087856,0.9844779,0.894263,0.13429429,0.18336263,0.6479891,0.7773322,0.48745173,0.016167954,0.0,0.0,0.6807433,0.16204152,0.00060328183,11486.973,32686.602,99188.16,8.634839,0.055018,0.33252308,274878400.0,323161820.0,13843.75,0.8505541,0.37379342,3202.4375,0.38550776,0.721757,-0.15638031,-0.0,-0.0005540848,-0.12379342
10000107,1062.4119,1.318974,630.69965,1.6483111,0.88544524,182.1369,0.03315016,0.009281749,0.0011360882,0.0006782376,0.57005286,0.9897463,1.1466234,0.19660953,0.19889694,0.6205341,0.82428026,0.50410235,0.013996139,0.0,0.0,0.5401786,0.21235521,0.00048262547,11911.486,36717.17,127078.8,10.668592,0.056537833,0.4092996,353325570.0,411645060.0,1250.0,0.8583232,0.37705117,3239.375,0.38569912,0.72165734,-0.1501062,-0.0,-0.008323193,-0.12705117
10000457,997.05865,1.1976801,657.59924,1.600748,1.0990733,190.47185,0.043460436,0.006984629,0.002601346,0.0004035458,0.6572325,0.904026,1.0929904,0.106744185,0.2741692,0.4108072,0.93019825,0.4873311,0.017977798,0.0,0.0,0.5871139,0.12910232,0.0003619691,10979.317,32015.441,116806.3,10.638758,0.05295256,0.31590354,295305000.0,345849920.0,7625.0,0.8538342,0.40576738,3326.0,0.38614458,0.7214254,-0.1546911,-0.0,-0.003834188,-0.15576738
10000082,945.28186,1.183526,746.12585,1.5056337,0.93628293,159.93224,0.022666998,0.011414634,0.0030572598,0.00012097339,0.54443246,1.036724,1.1346991,0.12777895,0.31414253,0.4736861,0.87522197,0.48226354,0.027027026,0.0,0.0,0.62041503,0.09049228,0.0,9839.459,32569.176,95119.99,9.667197,0.05212272,0.26382488,280693200.0,325204350.0,7031.25,0.86310995,0.31322396,2904.5625,0.38757023,0.72068423,-0.15070944,-0.0,-0.013109922,-0.06322396
10000022,1021.4473,1.2312491,734.5851,1.5577103,0.8896707,161.511,0.022081254,0.004301957,0.0037904328,0.0004882186,0.8641917,1.0182712,1.2102765,0.23670474,0.31375957,0.56124324,0.8895571,0.5106178,0.024372587,0.0,0.0,0.6574566,0.17446911,0.00048262547,9638.586,36981.72,110186.266,11.4317875,0.055393018,0.37592345,323322240.0,372358720.0,7187.5,0.86829174,0.27835423,2522.25,0.38774166,0.7205952,-0.1462452,-0.0,-0.018291712,-0.028354228
10000252,1187.6533,1.0356705,701.52747,1.5467333,0.86249155,176.62096,0.032068655,0.0117038,0.002524187,7.181175e-05,1.3542446,1.076103,0.8631553,0.13357207,0.22416055,0.6113058,0.6638297,0.5020512,0.017012548,0.0,0.0,0.542833,0.051882237,0.0,11371.281,34917.29,101734.03,8.946576,0.04828521,0.24397811,300077900.0,345811460.0,34187.5,0.8676642,0.3304778,2989.375,0.38806725,0.7204262,-0.14503862,-0.0,-0.017664194,-0.080477804
10000182,1018.4508,1.0086317,552.91724,1.61879,0.94606483,171.37914,0.03417615,0.0031025507,0.00292175,0.00054223894,1.5742722,1.021877,0.8519054,0.08649821,0.36921698,0.39446554,0.71980846,0.49420848,0.01097973,0.0,0.0,0.5451255,0.14056467,0.00012065637,9285.486,32688.691,108765.33,11.713477,0.04639015,0.30975473,246454980.0,288859600.0,12312.5,0.85316354,0.30308878,2454.6875,0.38887897,0.72000515,-0.15481178,-0.0,-0.0031635165,-0.053088784
